ID,Type,Upload Failed,menu item,Meal Category (from menu item),Meal Type (from menu item),Nutrition (from menu item),Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: neve_meta_enable_content_width,Meta: neve_meta_content_width
73,simple,,Apple Raisin Oatmeal,Protein Plus,Breakfast,Protein : 8g | Carbs : 49g,Apple Raisin Oatmeal,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
20,simple,,Apple Raisin Oatmeal,Protein Plus,Breakfast,Protein : 8g | Carbs : 49g,Apple Raisin Oatmeal,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
72,simple,,Banana Oatmeal,Protein Plus,Breakfast,Protein : 8g | Carbs : 58g,Banana Oatmeal,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
22,simple,,Banana Oatmeal,Protein Plus,Breakfast,Protein : 8g | Carbs : 58g,Banana Oatmeal,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
23,simple,,Banana Walnut Muffin,Protein Plus,Breakfast,Protein : 4g | Carbs : 35g,Banana Walnut Muffin,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
74,simple,,Banana Walnut Muffin,Protein Plus,Breakfast,Protein : 4g | Carbs : 35g,Banana Walnut Muffin,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
51,simple,,BBQ Cowboy Breakfast,Protein Plus,Breakfast,Protein : 21g | Carbs : 27g,BBQ Cowboy Breakfast,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
12,simple,,BBQ Cowboy Breakfast,Protein Plus,Breakfast,Protein : 21g | Carbs : 27g,BBQ Cowboy Breakfast,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
86,simple,,BBQ Cowboy Breakfast,Protein Plus,Breakfast,Protein : 21g | Carbs : 27g,BBQ Cowboy Breakfast,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
28,simple,,Bbq Steak With Veggies,Keto,Entree,Protein : 32g | Net Carbs : 8g,Bbq Steak With Veggies,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
83,simple,,Bbq Steak With Veggies,Keto,Entree,Protein : 32g | Net Carbs : 8g,Bbq Steak With Veggies,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
81,simple,,BBQ Turkey Meatballs And Veggies,Keto,Entree,Protein : 22g | Net Carbs : 7g,BBQ Turkey Meatballs And Veggies,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
35,simple,,BBQ Turkey Meatballs And Veggies,Keto,Entree,Protein : 22g | Net Carbs : 7g,BBQ Turkey Meatballs And Veggies,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
6,simple,,Bearnaise Aioli Steak with Brown Rice and Roasted Veggies,Protein Plus,Entree,Protein : 39g | Carbs : 36g,Bearnaise Aioli Steak with Brown Rice and Roasted Veggies,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
75,simple,,Bearnaise Grass Fed Steak with Roasted Sweet Potatoes,Paleo,Entree,Protein : 34g | Carbs : 29g,Bearnaise Grass Fed Steak with Roasted Sweet Potatoes,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
40,simple,,Bearnaise Grass Fed Steak with Roasted Sweet Potatoes,Paleo,Entree,Protein : 34g | Carbs : 29g,Bearnaise Grass Fed Steak with Roasted Sweet Potatoes,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
119,simple,,Beef (16oz),Bulk,Bulk,Protein : 30g | Carbs : 0g,Beef (16oz),1,0,visible,,,,,,,,,,0,0,,,,,,,,,Bulk,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
29,simple,,Beef Sloppy Joes,Keto,Entree,Protein : 39g | Net Carbs : 8g,Beef Sloppy Joes,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
41,simple,,Beef Teriyaki Bowl,Paleo,Entree,Protein : 19g | Carbs : 32g,Beef Teriyaki Bowl,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
58,simple,,Beyond Italian Unstuffed Peppers,Standard Vegan,Entree,Protein : 26g | Carbs : 35g,Beyond Italian Unstuffed Peppers,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
105,simple,,Beyond Italian Unstuffed Peppers,Standard Vegan,Entree,Protein : 26g | Carbs : 35g,Beyond Italian Unstuffed Peppers,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
124,simple,,Beyond Meat Patties (16oz),Bulk,Bulk,Protein : 20g | Carbs : 5g,Beyond Meat Patties (16oz),1,0,visible,,,,,,,,,,0,0,,,,,,,,,Bulk,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
121,simple,,Bison Patties (16oz),Bulk,Bulk,Protein : 29g | Carbs : 0g,Bison Patties (16oz),1,0,visible,,,,,,,,,,0,0,,,,,,,,,Bulk,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
5,simple,,Braised Beef with Lentils and Spinach Pesto,Protein Plus,Entree,Protein : 32g | Carbs : 28g,Braised Beef with Lentils and Spinach Pesto,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
62,simple,,Brown Rice With Sambal Vegetables And Tofu,Standard Vegan,Entree,Protein : 18g | Carbs : 40g,Brown Rice With Sambal Vegetables And Tofu,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
4,simple,,Cajun Salmon Grain Bowl With Roasted Broccoli And Jalapeno Cilantro Aioli,Protein Plus,Entree,Protein : 36g | Carbs : 45g,Cajun Salmon Grain Bowl With Roasted Broccoli And Jalapeno Cilantro Aioli,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
